,Id,LotFrontage,LotArea,YearBuilt,YearRemodAdd,MasVnrArea,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,GarageYrBlt,GarageArea,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,Diff_in_Ext,Garage_in_CollgCr,Garage_in_Veenker,Garage_in_Crawfor,Garage_in_NoRidge,Garage_in_Mitchel,Garage_in_Somerst,Garage_in_NWAmes,Garage_in_OldTown,Garage_in_BrkSide,Garage_in_Sawyer,Garage_in_NridgHt,Garage_in_NAmes,Garage_in_SawyerW,Garage_in_IDOTRR,Garage_in_MeadowV,Garage_in_Edwards,Garage_in_Timber,Garage_in_Gilbert,Garage_in_StoneBr,Garage_in_ClearCr,Garage_in_NPkVill,Garage_in_Blmngtn,Garage_in_BrDale,Garage_in_SWISU,Garage_in_Blueste,Street_Pave,Alley_Grvl,LotShape_IR1,LotShape_Reg,LandContour_Bnk,LandContour_Lvl,LotConfig_Corner,LotConfig_CulDSac,LotConfig_Inside,LandSlope_Mod,Neighborhood_BrkSide,Neighborhood_CollgCr,Neighborhood_Crawfor,Neighborhood_Edwards,Neighborhood_Gilbert,Neighborhood_NAmes,Neighborhood_NWAmes,Neighborhood_NridgHt,Neighborhood_OldTown,Neighborhood_Sawyer,Neighborhood_SawyerW,Neighborhood_Somerst,Condition1_Feedr,Condition1_Norm,Condition2_Norm,OverallQual_Average,OverallQual_High,OverallCond_Average,OverallCond_High,RoofStyle_Hip,RoofMatl_CompShg,Exterior1st_CemntBd,Exterior1st_HdBoard,Exterior1st_MetalSd,Exterior1st_Plywood,Exterior1st_VinylSd,Exterior1st_Wd Sdng,Exterior2nd_CemntBd,Exterior2nd_HdBoard,Exterior2nd_MetalSd,Exterior2nd_Plywood,Exterior2nd_VinylSd,Exterior2nd_Wd Sdng,MasVnrType_BrkFace,MasVnrType_None,MasVnrType_Stone,ExterQual_Gd,ExterQual_TA,ExterCond_Gd,ExterCond_TA,Foundation_BrkTil,Foundation_CBlock,BsmtQual_Ex,BsmtQual_Gd,BsmtQual_TA,BsmtCond_Gd,BsmtCond_TA,BsmtExposure_Av,BsmtExposure_Gd,BsmtExposure_Mn,BsmtExposure_No,BsmtFinType1_ALQ,BsmtFinType1_BLQ,BsmtFinType1_GLQ,BsmtFinType1_LwQ,BsmtFinType1_Rec,BsmtFinType1_Unf,BsmtFinType2_Rec,Heating_GasA,HeatingQC_Ex,HeatingQC_Gd,HeatingQC_TA,CentralAir_N,Electrical_FuseA,KitchenQual_Ex,KitchenQual_Gd,KitchenQual_TA,Functional_Typ,FireplaceQu_Gd,FireplaceQu_TA,GarageType_Attchd,GarageType_BuiltIn,GarageType_Detchd,GarageFinish_Fin,GarageFinish_RFn,GarageFinish_Unf,GarageQual_TA,GarageCond_TA,PavedDrive_N,Fence_GdPrv,Fence_GdWo,Fence_MnPrv,SaleType_WD,SaleCondition_Abnorml,SaleCondition_Normal,SaleCondition_Partial,60_RL,60_FV,20_RL,70_RL,70_RM,50_RL,50_RM,90_RL,120_RL,120_RM,30_RL,30_RM,85_RL,80_RL,160_RM,160_FV,Avg_room_size,br_0,br_1,br_2,br_3,br_4,br_5,br_6,SaleDate,n_transaction,Log_sale_price,Price_index,Price_index_Ames,UnEmployment,Garage_buit_in_1978_maybe_a_mistake
138,139,73.0,9066,1999,2000,320.0,668,0,336,1004,1004,848,0,1852,0,0,2,1,3,1,7,2,1999.0,660,224,106,0,0,0,0,0,12,2008,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,264.57142857142856,0,0,0,1,0,0,0,2008-12-01,14,5.361727836017593,193.98,158.45333333333332,3.7,0
139,140,65.0,15426,1997,1997,0.0,821,0,107,928,928,836,0,1764,1,0,2,1,3,1,7,0,1997.0,470,276,99,0,0,0,0,0,8,2009,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252.0,0,0,0,1,0,0,0,2009-08-01,30,5.364550995353972,194.59,156.76666666666665,5.3,0
140,141,70.0,10500,1971,1971,0.0,432,0,432,864,864,0,0,864,0,0,1,0,3,1,5,1,1978.0,0,0,0,0,0,0,0,0,4,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,172.8,0,0,0,1,0,0,0,2010-04-01,39,5.060697840353612,190.99,157.24,3.9,1
141,142,78.0,11645,2005,2005,0.0,1300,0,434,1734,1734,0,0,1734,1,0,2,0,3,1,7,0,2005.0,660,160,24,0,0,0,0,0,1,2006,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,247.71428571428572,0,0,0,1,0,0,0,2006-01-01,10,5.414973347970818,219.4,153.82,2.9,0
142,143,71.0,8520,1952,1952,0.0,507,0,403,910,910,475,0,1385,0,0,2,0,4,1,6,0,2000.0,720,0,0,0,0,0,0,0,6,2010,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,230.83333333333334,0,0,0,0,1,0,0,2010-06-01,36,5.220108088040055,191.74,157.37333333333333,4.7,0
143,144,78.0,10335,1999,1999,183.0,679,0,811,1490,1501,0,0,1501,1,0,2,0,3,1,6,0,1999.0,577,144,29,0,0,0,0,0,6,2009,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,250.16666666666666,0,0,0,1,0,0,0,2009-06-01,58,5.309630167425898,196.07,156.84666666666666,5.7,0
144,145,70.0,9100,1963,1963,336.0,1332,0,396,1728,1728,0,0,1728,1,0,2,0,6,2,10,0,1963.0,504,0,0,0,0,0,0,0,11,2006,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172.8,0,0,0,0,0,0,1,2006-11-01,16,5.096910013008056,224.89,154.77333333333334,2.4,0
145,146,24.0,2522,2004,2006,50.0,0,0,970,970,970,739,0,1709,0,0,2,0,3,1,7,0,2004.0,380,0,40,0,0,0,0,0,4,2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,244.14285714285714,0,0,0,1,0,0,0,2006-04-01,27,5.113943352306837,223.44,155.75,2.4,0
146,147,51.0,6120,1931,1993,0.0,209,0,506,715,875,0,0,875,1,0,1,0,2,1,5,0,1931.0,180,48,0,0,0,0,0,0,11,2009,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,175.0,0,0,1,0,0,0,0,2009-11-01,22,5.021189299069938,193.31,156.25333333333333,4.3,0
147,148,69.626254180602,9505,2001,2001,180.0,0,0,884,884,884,1151,0,2035,0,0,2,1,3,1,8,1,2001.0,434,144,48,0,0,0,0,0,5,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254.375,0,0,0,1,0,0,0,2010-05-01,48,5.347330015316951,192.79,157.30666666666667,4.0,0
148,149,63.0,7500,2004,2005,120.0,680,0,400,1080,1080,0,0,1080,1,0,1,0,3,1,6,0,2004.0,0,0,0,0,0,0,0,0,4,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,180.0,0,0,0,1,0,0,0,2008-04-01,26,5.14921911265538,210.76,157.73,2.8,0
149,150,69.626254180602,6240,1936,1936,0.0,0,0,896,896,896,448,0,1344,0,0,1,0,3,1,7,0,1936.0,240,200,114,0,0,0,0,0,4,2006,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,192.0,0,0,0,1,0,0,0,2006-04-01,27,5.060697840353612,223.44,155.75,2.4,0
150,151,120.0,10356,1975,1975,0.0,716,0,253,969,969,0,0,969,0,0,1,1,3,1,5,0,1975.0,440,0,0,0,0,0,0,0,1,2007,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,193.8,0,0,0,1,0,0,0,2007-01-01,12,5.086359830674748,223.75,154.6,2.9,0
151,152,107.0,13891,2007,2008,436.0,1400,0,310,1710,1710,0,0,1710,1,0,2,0,2,1,6,1,2007.0,866,0,102,0,0,0,0,0,1,2008,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,285.0,0,0,1,0,0,0,0,2008-01-01,12,5.571012004711645,213.54,159.99,3.1,0
152,153,69.626254180602,14803,1971,1971,252.0,416,0,409,825,1097,896,0,1993,0,0,2,1,4,1,8,1,1971.0,495,0,66,0,0,0,0,0,6,2006,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,249.125,0,0,0,0,1,0,0,2006-06-01,48,5.278753600952829,225.99,154.12333333333333,3.1,0
153,154,69.626254180602,13500,1960,1975,0.0,429,1080,93,1602,1252,0,0,1252,1,0,1,0,1,1,4,1,1960.0,564,409,0,0,0,0,0,0,3,2008,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,313.0,0,1,0,0,0,0,0,2008-03-01,18,5.371067862271736,211.79,158.48333333333332,3.0,0
154,155,84.0,11340,1923,1923,0.0,0,0,1200,1200,1200,0,0,1200,0,0,1,0,4,1,7,0,1923.0,312,0,0,228,0,0,0,0,3,2006,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,171.42857142857142,0,0,0,0,1,0,0,2006-03-01,25,5.096910013008056,222.03,155.10666666666665,2.7,0
155,156,60.0,9600,1924,1924,0.0,0,0,572,572,572,524,0,1096,0,0,1,0,2,1,5,0,1978.0,0,0,8,128,0,0,0,0,4,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,219.2,0,0,1,0,0,0,0,2008-04-01,26,4.897627091290442,210.76,157.73,2.8,1
156,157,60.0,7200,1950,1950,0.0,0,0,0,0,1040,0,0,1040,0,0,1,0,2,1,5,0,1950.0,625,0,0,0,0,0,0,0,6,2006,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,208.0,0,0,1,0,0,0,0,2006-06-01,48,5.039414119176137,225.99,154.12333333333333,3.1,0
157,158,92.0,12003,2009,2010,84.0,0,0,774,774,774,1194,0,1968,0,0,2,1,4,1,8,1,2009.0,680,0,75,0,0,0,0,0,5,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246.0,0,0,0,0,1,0,0,2010-05-01,48,5.430558769522757,192.79,157.30666666666667,4.0,0
158,159,100.0,12552,2004,2005,0.0,222,0,769,991,991,956,0,1947,0,0,2,1,3,1,8,1,2004.0,678,0,136,0,0,0,0,0,5,2010,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243.375,0,0,0,1,0,0,0,2010-05-01,48,5.406369835469268,192.79,157.30666666666667,4.0,0
159,160,134.0,19378,2005,2006,456.0,57,0,1335,1392,1392,1070,0,2462,1,0,2,1,4,1,9,1,2006.0,576,239,132,0,168,0,0,0,3,2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,273.55555555555554,0,0,0,0,1,0,0,2006-03-01,25,5.505149978319906,222.03,155.10666666666665,2.7,0
160,161,69.626254180602,11120,1984,1984,0.0,660,0,572,1232,1232,0,0,1232,0,0,2,0,3,1,6,0,1984.0,516,0,0,0,0,0,0,0,6,2008,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,205.33333333333334,0,0,0,1,0,0,0,2008-06-01,51,5.210853365314893,209.33,156.75666666666666,3.8,0
161,162,110.0,13688,2003,2004,664.0,1016,0,556,1572,1572,1096,0,2668,1,0,2,1,3,1,10,2,2003.0,726,400,0,0,0,0,0,0,3,2008,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,266.8,0,0,0,1,0,0,0,2008-03-01,18,5.615423952885944,211.79,158.48333333333332,3.0,0
162,163,95.0,12182,2005,2005,226.0,1201,0,340,1541,1541,0,0,1541,0,0,2,0,3,1,7,1,2005.0,532,0,70,0,0,0,0,0,5,2010,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,220.14285714285714,0,0,0,1,0,0,0,2010-05-01,48,5.342422680822207,192.79,157.30666666666667,4.0,0
163,164,55.0,5500,1956,1956,0.0,0,0,882,882,882,0,0,882,0,0,1,0,1,1,4,0,1978.0,0,0,0,0,0,0,0,0,4,2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220.5,0,1,0,0,0,0,0,2007-04-01,23,5.013679697291193,227.46,157.69,2.6,1
164,165,40.0,5400,1926,2004,0.0,370,0,779,1149,1149,467,0,1616,0,0,2,0,3,1,5,0,1926.0,216,0,0,183,0,0,0,0,10,2007,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,323.2,0,0,0,1,0,0,0,2007-10-01,15,5.181843587944773,221.12,157.94,2.5,0
165,166,62.0,10106,1940,1999,0.0,351,181,112,644,808,547,0,1355,1,0,2,0,4,2,6,0,1978.0,0,140,0,0,0,0,0,0,9,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225.83333333333334,0,0,0,0,1,0,0,2008-09-01,17,5.105510184769974,202.35,156.57,3.0,1
166,167,69.626254180602,10708,1955,1993,0.0,379,768,470,1617,1867,0,0,1867,1,0,1,0,2,1,7,3,1955.0,303,476,0,0,0,142,0,0,11,2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,1,1,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,266.7142857142857,0,0,1,0,0,0,0,2009-11-01,22,5.278753600952829,193.31,156.25333333333333,4.3,0
